robottelo,luigi,OpenSlides,tgstation,cryptography,mne-python,pandas,Theano,scikit-image,vumi-go,django-rest-framework,c2cgeoportal,ome-documentation,mackup,django-cms,commcare-hq,botocore,requests,matplotlib,zamboni,readthedocs.org,dipy,regulations-parser,kivy,web2py,flask,mezzanine,kitsune,libcloud,bcfg2,pulp_rpm,sympy,sunpy,beets,configuration,addon-sdk,edx-ora2,ninja-ide,kuma,networkx,teuthology,ka-lite,numba,pybossa,mozmill-ci,blaze,scrapy,virt-test,ESP-Website,nipype,bedrock,pylearn2,ipython,quark,pombola,werkzeug,pelican,django-debug-toolbar,ralph,Minecraft-Overviewer,sentry,deis,buildbot,remo,celery,pip,BinPy,statsmodels,rootpy,gunicorn,oh-mainline,iris,spyne,riak-python-client,mopidy,pyramid,webview,vispy,Pillow,MakeAPI,psychopy,symfony-docs-fr,girder,vumi,salt-cloud,mongo-python-driver,pootle,XBlock,socorro,play1,fjord,youtube-dl,tp-qemu,solitude,feincms,wagtail,freeseer,gaffer,hashstack,invenio,topaz,zipline,marketplace-tests,autotest-docker,shinken,sm,tp-libvirt,Kawaz3rd,eden,SimpleCV,nikola
0.60597837,0.103654861,1.290039301,0.674647598,0.865681219,0.771561575,0.581511566,0.165486765,1.195642054,0.406862974,0.211199164,1.023619294,0.005517483,,0.913032293,0.612994432,1.085147738,1.21766448,0.244028211,1.006271601,,0.98011744,0.280890226,0.640259981,0.075288773,0.68785727,0.09839201,0.503451983,0.055898428,,0.72075057,0.647074509,0.308372974,0.426338196,0.698050261,0.193518043,0.449291945,0.087188721,0.58022809,0.653588295,0.152916193,0.343192101,1.161818862,1.142207623,0.155679464,1.025741816,0.236282587,0.402619243,0.841246605,1.013595581,1.000091136,0.300193548,0.55356786,0.009915113,0.377240181,,0.605757236,,0.386083126,,0.21519804,0.604695161,0.395759678,,0.907237053,1.118652026,2.538160563,,,0.840688944,,0.715581656,0.866121054,,0.623562574,,,1.154607137,,,,,0.936986923,,0.393697977,0.897727251,0.035915375,0.50164783,0.605234027,1.239596605,0.785736322,0.789185762,0.190649748,,,,,,0.232243299,0.138250351,,,1.593432665,0.106364727,0.563512444,,,,1.126246214,,0.309076548
0.599885058,0.868490934,0.605012099,0.963506058,0.956346214,1.151449521,0.593798965,0.516847229,1.249466578,0.540909767,0.486959577,0.609194517,0.37429136,,2.151235342,0.491540531,0.617021799,1.185847044,0.593869633,0.591772914,,0.604641438,,0.103553772,,0.073239565,2.658860922,0.557697773,0.800222874,,0.930239201,0.128017187,0.283853054,0.119496107,0.313839674,0.271528244,0.545018435,0.52135396,0.30250597,0.93033886,1.102710724,0.517972708,0.305965741,0.489023447,0.166588306,0.700827122,0.267553806,0.709257841,0.93435812,0.238984346,0.577521006,0.499226093,0.707940531,,0.174675465,,1.016970634,,0.006094456,,0.377891779,0.007638931,0.550839821,,0.828410387,1.178532302,2.773513079,,,0.509630442,,1.023419499,,,0.577895522,,,0.75745821,,,,,0.1871562,,0.288496256,1.062238097,1.685086012,0.153722644,1.458168268,1.269934893,1.735049248,0.522466183,0.227949142,,,,,,,0.206396282,,,1.645810604,0.52523613,0.544636846,,,,0.581262827,,0.474235296
0.354055113,0.269320726,1.317906141,0.689363489,0.742395282,0.921396653,0.380605245,0.677418351,1.205733538,0.387105942,0.106364727,0.769274712,0.648932377,,2.306357265,0.383352327,0.817135572,1.157390356,0.595550815,1.034498453,,0.727908611,,0.253684203,,0.220335722,2.599526644,0.628247023,0.139422655,,0.801604986,0.351588806,0.278593302,2.124101877,0.553228855,0.940473318,0.084071159,0.121180534,0.238124371,0.455913782,0.269715071,0.271447539,0.67740202,0.682986736,0.026160717,0.952561617,0.490369558,0.342021704,1.098566532,0.11452508,0.612713496,0.459548116,0.668201774,,0.544209003,,0.172807455,,0.355119944,,0.357912302,0.474899948,0.304616928,,0.924388647,1.227871752,,,,1.026744604,,0.743054032,,,1.197701931,,,1.388233542,,,,,0.267553806,,0.256768823,1.05614543,0.869709611,0.380728483,0.189202309,1.363500357,1.574753284,0.537678719,0.090010405,,,,,,,0.269875209,,,0.066735268,0.963221312,0.324472427,,,,0.765250683,,0.202672005
0.404724223,0.202749133,1.278555751,0.922440883,0.627417147,0.823829472,0.372519663,0.48620769,0.89539516,0.837932467,0.785825729,1.057941437,1.176440954,,1.451366305,1.064720631,0.755897045,0.892369906,0.632037997,0.891285499,,1.247871399,,0.442901373,,0.173887134,2.744555235,0.335521619,0.687996387,,0.14936471,0.126446724,1.927179098,0.296535134,0.682212949,0.571683884,0.207943678,0.278291345,0.637378514,0.688393116,0.665356636,0.790948391,1.22096022,0.536802769,0.121779442,,0.085604191,0.475937247,0.772834857,0.2007339,0.96097072,0.489254236,0.628878021,,0.491452694,,0.649440765,,0.47193265,,0.178465366,0.429493904,0.420416832,,0.840962648,1.246776402,,,,,,0.795532107,,,1.261479616,,,1.579916716,,,,,0.125832558,,0.383896589,,0.433742523,0.667749166,0.089594603,0.798651695,0.92633462,0.171494484,,,,,,,,0.244657516,,,,0.128385544,0.424199343,,,,,,0.4515903
0.65474087,0.917562962,1.311223626,0.632063448,0.748421351,1.60972023,0.53783981,0.193498373,1.331113259,0.510208964,0.921872377,0.393978953,0.581541181,,1.69900465,0.749151362,1.360430479,0.955869913,0.206285334,0.385219574,,0.194062948,,0.281666756,,1.089239597,0.011473656,0.637741327,0.099077463,,0.904503584,0.353575786,0.293311834,0.250216007,0.599901974,0.584457278,0.532440424,0.054615974,1.484269142,0.737823009,1.184530735,0.315795183,0.766665339,0.658387661,0.303648949,,0.372822642,0.741164351,1.034559488,1.171344519,0.696146011,0.521124363,1.016042193,,0.837957144,,0.644277334,,0.236548185,,0.301108122,0.342662493,0.605844975,,,0.566696215,,,,,,0.725177884,,,0.028760672,,,1.120933771,,,,,0.276601553,,0.007897377,,1.206337929,0.419517279,0.429531415,1.351924419,0.471844196,0.656624317,,,,,,,,0.235252142,,,,0.175684214,0.466340065,,,,,,0.275763512
0.566569873,0.970800161,0.894303481,0.921208494,0.843147914,0.682445586,0.642661005,0.319981432,1.229189754,0.468331575,0.498793125,1.139894962,0.599060297,,0.77927351,0.843308814,0.716870546,0.90530022,0.699331443,0.643164873,,0.306152821,,0.73065567,,0.062553644,1.24414897,0.408583498,0.090010405,,0.886662245,0.606335461,0.294948101,0.153494596,0.652371089,1.492950439,0.561438878,0.179290056,1.32153368,0.778263807,,0.259721518,0.632267952,0.632062674,0.416955709,,0.484157801,0.559626758,1.27301693,1.251628399,0.627257109,0.374908924,0.57621898,,,,0.370403647,,0.299114704,,,0.305441666,0.390753627,,,1.014571508,,,,,,0.544898868,,,1.136951208,,,0.706820488,,,,,0.767067194,,,,0.747951031,0.318699519,0.459089518,1.336891174,0.509153843,0.876410425,,,,,,,,0.146827936,,,,1.056125164,0.481266379,,,,,,0.308667421
0.257833242,0.439918637,0.799795628,0.736136389,1.144074488,0.460329103,0.480393505,0.41030407,1.303506931,0.724837303,0.53840812,0.794166644,0.326660514,,1.136875987,0.84208195,,0.904308319,0.569044454,0.401919842,,0.715336442,,0.701933702,,0.323655605,,0.385273695,0.739171028,,0.955261707,0.330496652,0.430096149,0.347998142,0.663248062,0.282343626,,0.083662391,1.150726398,0.867883444,,0.513044715,0.521194537,0.60329771,0.099421024,,0.348930359,1.583870411,1.261115074,,1.051342249,0.510515213,0.688959479,,,,0.465445161,,0.241826296,,,0.098099947,0.245910168,,,0.913763285,,,,,,1.459382534,,,0.942074299,,,0.807230353,,,,,0.710489035,,,,1.274159193,0.236470222,0.063954234,1.329098701,0.674198151,0.512530565,,,,,,,,0.162141085,,,,1.320158005,0.234156132,,,,,,0.496211529
0.486236413,0.489490747,0.104371309,0.828947365,0.605147266,0.582799792,0.305699646,0.236156464,1.230948051,0.419424057,0.240972281,0.634797573,0.5842031,,0.9583354,0.645585775,,1.202510675,0.531218767,0.255825281,,1.184860229,,0.547038078,,0.180161715,,0.618037581,0.033607006,,0.897289276,0.702804375,0.571266651,0.393137336,0.574242592,0.27684164,,0.082819462,0.792645812,0.767756701,,0.629695535,0.751566172,0.517213821,0.242966652,,0.311857224,0.426788807,0.868189931,,0.484159088,0.533482313,1.020225116,,,,0.267553806,,0.314447522,,,0.377558668,0.064323127,,,0.166049838,,,,,,1.072000146,,,,,,0.928717375,,,,,0.08282876,,,,0.626398325,0.38343668,0.403600693,,1.947312355,0.747450113,,,,,,,,0.028822899,,,,0.12702632,0.301318526,,,,,,0.177356005
0.690775871,0.030592918,0.767533779,0.710599022,0.725012779,0.779917479,0.58167693,0.985025883,2.250983238,0.486105084,0.318506956,0.534265359,0.326431115,,1.674311161,0.680806677,,1.134950304,0.609900534,1.245963812,,0.249755859,,0.500365973,,0.236963272,,0.100682855,0.462012053,,0.66130662,0.356497812,0.576760292,1.401253104,0.053479433,0.971565843,,0.232538223,0.450152755,0.662706534,,0.594429135,0.852686167,0.55430913,0.435593843,,,0.578285456,,,0.426306307,0.315244675,0.805999955,,,,0.198395014,,0.305523157,,,0.281832616,0.212264299,,,0.743435621,,,,,,1.166447719,,,,,,0.68633914,,,,,0.251744509,,,,0.452236414,0.007496119,0.588645697,,,0.801372409,,,,,,,,0.076200008,,,,,0.753420353,,,,,,0.562446594
0.664806498,0.289354324,1.214558125,0.701890569,0.970502424,0.828901196,0.475286841,0.489235067,1.608836889,0.469370127,0.458347559,0.437748432,0.46457386,,1.035786867,0.69420259,,1.34383142,0.843712943,0.994426489,,,,0.291533709,,0.688064814,,0.411915731,,,0.5,0.06839784,0.484784126,1.439977169,0.544209003,0.874498288,,,0.921474361,0.561212897,,0.847205877,0.416986346,0.790559769,0.44170475,,,0.6560781,,,0.650223653,0.887933969,1.087230861,,,,0.683489402,,0.671583176,,,0.220218738,0.359516978,,,0.636867364,,,,,,1.287912607,,,,,,1.075016896,,,,,,,,,1.12558651,0.49640584,0.371194601,,,0.594553947,,,,,,,,0.578966141,,,,,0.343234062,,,,,,0.441579819
0.490879893,0.093527317,0.043687344,0.729673756,1.032638516,0.346426368,0.618427694,0.571906845,1.120470762,0.421348214,0.235544205,0.564458927,0.642080784,,0.052372456,0.707011417,,0.953955507,0.519421617,0.503855705,,,,0.234699011,,0.058800459,,0.667282939,,,,0.671013141,0.463610888,0.330965281,0.65515089,0.692913949,,,0.522115469,0.228102684,,,0.213381529,,0.149798751,,,0.569411755,,,0.429461002,0.582709312,0.65615499,,,,0.631379128,,0.241744995,,,0.247505486,0.616890311,,,1.649012566,,,,,,1.816259623,,,,,,0.438587308,,,,,,,,,0.835049391,0.317315102,0.113595843,,,0.568161488,,,,,,,,0.438343763,,,,,0.604230642,,,,,,
0.486561775,0.116627932,0.765432715,0.918185089,0.861654711,0.39749527,0.448806953,0.156491439,1.212905765,0.37069869,0.519344568,0.854475498,0.51934123,,0.523730874,0.550509048,,1.378957152,0.647657394,0.462944031,,,,0.561893463,,0.922984362,,0.282194734,,,,0.202690542,0.307973862,1.466651758,0.617674112,0.85550642,,,1.443545818,0.895884991,,,0.159593821,,0.805594683,,,0.307221651,,,1.022558928,0.415253878,1.338391423,,,,0.394593,,0.338360906,,,0.378483931,0.095340729,,,2.079938412,,,,,,0.40548569,,,,,,0.166012287,,,,,,,,,0.580132842,0.087879896,0.03800106,,,0.883526921,,,,,,,,,,,,,0.331002951,,,,,,
0.446739435,0.414166689,0.023319721,0.78391938,0.799066424,0.684784253,0.780538951,0.489508724,0.966986656,0.429223776,0.506757259,0.570031961,0.555273533,,0.861069918,0.559787512,,1.034772237,0.723994374,0.461517096,,,,,,0.463706613,,0.711875439,,,,0.725154161,0.313875914,0.911625703,0.366965532,1.214852214,,,1.072555542,,,,1.516556621,,0.485697031,,,0.848099232,,,0.506656945,,0.837603882,,,,0.889185071,,0.49766469,,,0.356615702,0.182145754,,,1.026267469,,,,,,0.483049512,,,,,,0.268591642,,,,,,,,,0.529286385,0.336034616,1.046233892,,,0.673411608,,,,,,,,,,,,,0.301975012,,,,,,
0.459022215,0.932313522,1.129931927,0.7937175,0.934982777,1.329520702,0.580349922,0.176788211,0.979743004,,0.658398986,0.66783154,0.593718708,,1.373975197,0.8251134,,0.90252763,0.786633372,0.642184655,,,,,,0.932804465,,0.382420421,,,,0.587896287,0.355481625,1.453229189,0.702046633,0.630842924,,,0.652187983,,,,0.836611589,,0.281442563,,,0.390100241,,,0.611059546,,0.580162525,,,,1.010659456,,0.228121161,,,0.150550365,0.055017352,,,0.251307249,,,,,,0.501241446,,,,,,1.568018675,,,,,,,,,,,0.174750507,,,1.127614021,,,,,,,,,,,,,0.543553472,,,,,,
0.570479274,0.522336841,0.580420613,0.948315255,0.45925343,0.51315529,0.477598082,0.01383698,1.840181231,,0.340298772,0.593412042,0.370478988,,0.768924356,0.402124723,,1.092339873,0.627597623,,,,,,,0.03774786,,0.30656147,,,,0.699427366,,0.035263538,0.485697031,0.217095733,,,1.046818097,,,,1.703652143,,0.023054838,,,0.313913266,,,1.118869543,,0.504551888,,,,0.585278869,,,,,0.286249459,0.211020152,,,0.450296402,,,,,,0.552818894,,,,,,,,,,,,,,,,,0.28341496,,,0.627330144,,,,,,,,,,,,,,,,,,,
0.440700974,0.00398612,0.11629045,0.754705705,0.856168604,0.856917461,0.592197418,0.302574253,1.278561115,,,,0.590328336,,2.12702632,0.840005824,,0.83381021,0.682410649,,,,,,,,,0.377200842,,,,0.506087542,,1.446191788,0.532440424,0.658761621,,,0.393548568,,,,1.287891388,,0.591090918,,,0.436452627,,,0.386443198,,0.750615968,,,,0.184530735,,,,,1.265767813,0.214394172,,,0.63753283,,,,,,0.589664936,,,,,,,,,,,,,,,,,1.257708311,,,,,,,,,,,,,,,,,,,,,,
0.809087157,0.290937424,,0.89335767,1.211652199,0.656783533,0.228868246,0.588148165,0.998924732,,,,0.0331738,,0.821354151,0.853400469,,0.934312105,0.691282153,,,,,,,,,0.420721054,,,,0.528439601,,,0.356761694,0.989149451,,,0.533104022,,,,1.10419023,,,,,0.96765101,,,0.770439923,,0.831266615,,,,,,,,,0.314159989,0.893962383,,,0.612034559,,,,,,0.184530735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.564882318,0.049402237,,0.708400233,0.8529495,0.497933865,0.622841024,0.10932976,1.429736614,,,,0.476670265,,,0.783613443,,0.894342721,1.014792252,,,,,,,,,0.34925727,,,,0.879173835,,,0.648174524,,,,1.063894033,,,,1.413440228,,,,,0.336026192,,,0.613947789,,1.002022914,,,,,,,,,0.376317143,0.234068632,,,0.870560805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.558615357,0.821354151,,0.931548467,1.329087973,0.368759108,0.427375734,,1.982982516,,,,0.32790482,,,0.70729957,,,0.841005683,,,,,,,,,0.516648372,,,,0.365902042,,,,,,,,,,,,,,,,0.846772909,,,0.655699015,,0.579548311,,,,,,,,,0.150836229,,,,0.841280063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.505094051,,,0.812461396,,1.092269023,0.608395656,,,,,,0.401168903,,,0.929625815,,,0.42339774,,,,,,,,,,,,,0.933696508,,,,,,,,,,,,,,,,,,,,,1.022415195,,,,,,,,,,,,,0.833041251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.548812263,0.390214447,0.701507791,0.821455926,0.842084859,0.754336256,0.510369388,0.369077341,1.3891201,0.552360523,0.517733094,0.621277928,0.468249677,0.342061853,1.085110478,0.730980863,0.988573641,0.984700134,0.632025323,0.72625728,2.027617829,0.685471733,0.217292179,0.381239853,0.155109145,0.368113899,1.227614845,0.501553022,0.411256709,0.261624847,0.695866984,0.561725787,0.46624816,0.896836768,0.543941156,0.694583982,0.476390277,0.233901965,0.780294785,0.694518846,0.908729251,0.528452873,0.823889956,0.724468225,0.28146401,0.643258682,0.333527029,0.607251679,0.91456432,0.710496478,0.694939289,0.530687825,0.743099965,0.221451857,0.495446634,0.818707108,0.549198823,1.948003905,0.350827505,1.531338851,0.264183267,0.345415088,0.327696449,1.31778276,0.85516744,0.82960133,2.629063129,0.226982445,0.052794635,0.659477637,0.152536631,0.707133989,0.825349678,0.456464503,0.714010947,0.140129447,0.604624927,0.899532013,0.040406068,0.452972561,0.197415769,0.04805882,0.382414655,0.532578659,0.215197015,1.013493217,0.684533371,0.353015221,0.521853345,1.287331308,1.200077136,0.760360483,0.231203153,0.993112731,0.164123416,1.332332164,0.293306669,0.331102085,0.206144333,0.22560832,0.066453934,0.494074106,0.802367467,0.695912096,0.424848201,0.935950007,0.813681296,0.906590462,0.890903968,1.151627034,0.344999546